id,node,text,translation
line:0b9159a,Cemetery_Examine,Player: Emily,
line:015a533,Cemetery_Examine,It was the grave of Emily Grant—[p/]such a shame that she died so young.,这是艾梅莉·格兰特的坟墓——[p/]她那么年轻就不幸逝世，实在是遗憾。
line:06f3f19,Cemetery_Examine,I briefly paid my respects.,我简短地示以敬意。
line:00000d9,Cemetery_Examine,It was the grave that Eris was attending to earlier.,厄莉斯早些时候就在这座坟墓前。
line:0962936,Cemetery_Examine,"The name on the stone said “Emily Grant”,[p/] and her lifetime appears to be awfully short.",石碑上刻着的名字是“艾梅莉·格兰特”，[p/]她的一生看起来极其短暂。
line:08be1b7,Cemetery_Examine,She must have only been twelve years old when she died.,她去世时仅仅十二岁。
line:083be08,Cemetery_Examine,Player: Grave,
line:05578c7,Cemetery_Examine,It was a grave for an individual that I didn't know.,并不清楚这里埋葬了谁。
line:060b029,Cemetery_Examine,"Out of respect,[p/] it'd be best to leave it undisturbed.",最好不要打扰已逝之人的安息。
line:0766bae,Cemetery_Examine,Player: Back,
line:0f433f0,Cemetery_Talk,Player: The Trial,
line:0395ffc,Cemetery_Talk,ERIS: That was my first time watching a court trial.,ERIS: 这还是我第一次旁听庭审。
line:0048d7b,Cemetery_Talk,ERIS: You were truly remarkable.,ERIS: 你可真厉害。
line:0d77b86,Cemetery_Talk,TYRION: ...Thank you.[p/] Were you in the gallery?,TYRION: ……谢谢，[p/]你当时在旁听席上吗？
line:0857029,Cemetery_Talk,ERIS: I’ve always enjoyed watching physical battles [p/]in the theatre.,ERIS: 我从小就喜欢看剧院里的打斗戏码。
line:0a0e114,Cemetery_Talk,ERIS: But I see now that battles of wits can be just as entertaining to watch.,ERIS: 但我现在觉得看文斗剧应该也很有趣。
line:0f41705,Cemetery_Talk,TYRION: “Entertaining”?,TYRION: “有趣”？
line:00c8766,Cemetery_Talk,"CELESTE: Yeah,[p/] I know what you mean.",CELESTE: 嗯，[p/]我懂你意思。
line:0bfcdd8,Cemetery_Talk,"CELESTE: You see the odds are stacked against him,[p/] but then he suddenly pulls out this crazy deduction that takes the whole trial back.",CELESTE: 但他总能提出一些剑走偏锋的推理扭转局势。
line:094d90d,Cemetery_Talk,TYRION: I’ve...[p/] never really thought of it like that...,TYRION: 我……[p/]从没那么想过……
line:0fc07f5,Cemetery_Talk,ERIS: But I’m sure it’s far more entertaining to be the one [i]making[/i] the deductions.,ERIS: [i]想出[/i]这些推理的过程一定非常有趣。
line:014c50c,Cemetery_Talk,TYRION: I’m...[p/] not really sure what you mean.,TYRION: 我……[p/]不太懂你什么意思。
line:074f1ff,Cemetery_Talk,TYRION: I practice law so that I can help those persecuted by the justice system.,TYRION: 我从事法律工作，只是为了能帮到那些被司法体系起诉的人。
line:0ae490b,Cemetery_Talk,"TYRION: I don’t really do it to ""entertain"" myself.",TYRION: 我并不以此为乐。
line:0503923,Cemetery_Talk,ERIS: But is that really true?,ERIS: 但真的是这样吗？
line:0c8dd63,Cemetery_Talk,"ERIS: Don’t you find the experience even the least bit entertaining, Tyrion?",ERIS: 提利昂，在这过程中你难道就没有一丁点的乐趣吗？
line:0393da3,Cemetery_Talk,TYRION: Um...[p/] I wouldn’t really put it that way.,TYRION: 唔嗯……[p/]我不会这么形容。
line:0fce568,Cemetery_Talk,ERIS: You’re far too modest.[p/] You save people from the clutches of death.,ERIS: 你真是太谦虚了。[p/]你从死亡的魔爪中拯救他人。
line:0436176,Cemetery_Talk,"ERIS: To your clients,[p/] you might as well be a knight in shining armor.",ERIS: 对于你的委托人来说，[p/]你可能如同身着闪耀铠甲的骑士。
line:0bc58e2,Cemetery_Talk,Eris: ...,Eris: ……
line:07191d9,Cemetery_Talk,"Eris: I know you're looking for it,[p/] but apparently those new operating systems don't like it when I peek at your real name.",Eris: 我知道你在找它，[p/] 但显然那些新的操作系统不太喜欢我窥探你的真名。
line:0307bd3,Cemetery_Talk,"Eris: I'm all for a bit of fun,[p/] but that's not worth blue-screening people.",Eris: 我是不反对找点乐子，但为这个把人弄蓝屏可就不值当了。
line:02d0e59,Cemetery_Talk,Tyrion: ...What?,Tyrion: ……什么？
line:0bc132a,Cemetery_Talk,Eris: Don't worry about it.,Eris: 别在意。
line:02d28ed,Cemetery_Talk,Player: Illusion Magic,
line:0a3bc83,Cemetery_Talk,"TYRION: Earlier,[p/] you said that you were studying [b]illusion[/b] magic.",TYRION: 先前你有提到过自己在学习[b]幻象术[/b]魔法。
line:0de7cc4,Cemetery_Talk,ERIS: I am.[p/] Did you want to ask me about the prosecution’s theory?,ERIS: 是的，[p/]你是想问我检方的假设有无成立的可能对吧？
line:098e2f5,Cemetery_Talk,"TYRION: ...Yes, actually.[p/] How did you know?",TYRION: ……对的，[p/]你怎么知道我要问什么？
line:039622d,Cemetery_Talk,ERIS: Disguising an undead with an illusion is definitely possible.,ERIS: 用幻象来伪装已死之人是绝对可行的。
line:05a95ea,Cemetery_Talk,"ERIS: As Lady Steelwind said,[p/] [b]Illusory Disguise[/b] would be the best spell to use for that.",ERIS: 正如斯蒂尔文德小姐所说，[p/][b]幻象伪装[/b]确实是达成这种效果的最佳法术。
line:0c5d9a5,Cemetery_Talk,TYRION: What if someone created a freestanding illusion?,TYRION: 那要是有人创造了一个独立的幻觉呢？
line:031f7cd,Cemetery_Talk,TYRION: We know that Wallace didn’t animate and disguise the professor’s corpse.,TYRION: 华莱士没有复活并伪装教授的尸体。
