REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Autopsy,Autopsy Report,Died of dissolution at 10:02 AM after falling into a vat of molten aetherite. Only his bones and some personal effects could be recovered.,,,,,,,,,,,尸检报告,,,,,,,,,,,,
HousePic,Old House Picture,A picture of my old house. There's a large dented metal container. It's stuck shut. There are traces of <b>conjuration</b> magic all over it.,,,,,,,,,,,,,,,,,,,,,,,
RikaPast,Mosourika's Past,"Several years ago, Mosourika Tudor was a part of a band of thieves. They would frequently rob shipments addressed to Von Sanctus Industries from the Aurinax Harbor. They were eventually arrested, and Mosourika only avoided time in the dungeons by taking a plea deal.",,,,,,,,,,,,,,,,,,,,,,,
Treason,Arrested Insurrectionists,"Within the last few months, there have been an increased amount of Aurinax citizens who have been arrested for treason. The Mistweaving Phantom seems to be robbing these individuals. By doing so, they've been bringing the City Watch's attention to them.",,,,,,,,,,,,,,,,,,,,,,,
Blockade,Kingsguard Blockade,The Kingsguard have set up a blockade and prevented anyone from traveling in and out of Aurinax. They seem to be making note of everyone in the city.,,,,,,,Blockade,,,,,,,,,,,,,,,,
Blockade2,Stolen Shipment,"A thief known as the ""Mistweaving Phantom"" stole a dangerous shipment from an imperial ship the morning of Justin's death. The Kingsguard have set up a blockade and prevented anyone from traveling in and out of Aurinax. They seem to be making note of everyone in the city.",,,,,,,Blockade,,,,,,,,,,,,,,,,
Blockade3,Stolen Arcane Crystals,"A thief known as the ""Mistweaving Phantom"" stole a dangerous shipment of high-capacity arcane crystals attuned to <b>evocation</b> magic. In the wrong hands, these crystals could produce an explosion capable of destroying a city block. This theft occurred the morning of Justin's death on an imperial ship owned by Crown Prince Aster. The Kingsguard have set up a blockade and prevented anyone from traveling in and out of Aurinax. They seem to be making note of everyone in the city.",,,,,,,Blockade,,,,,,,,,,,,,,,,
Phantom,The Mistweaving Phantom,"There is a thief who calls themselves the ""Mistweaving Phantom"". They've been expertly robbing several merchant ships that were resting at Aurinax Harbor. No one ever spots them, and they never leave any evidence behind—hence the name.",,,,,,,Phantom,,,,,,,,,,,,,,,,
Phantom2,The Mistweaving Phantom,"There is a thief who calls themselves the ""Mistweaving Phantom"". They've been expertly robbing several merchant ships that were resting at Aurinax Harbor. They've also been breaking into the magically secured offices of the workers' unions and stealing administrative documents. No one ever spots them, and they never leave any evidence behind—hence the name.",,,,,,,Phantom,,,,,,,,,,,,,,,,
Phantom3,The Mistweaving Phantom,"There is a thief who calls themselves the ""Mistweaving Phantom"". They've been expertly robbing several merchant ships that were resting at Aurinax Harbor. They've also been breaking into the magically secured offices of the workers' unions and stealing administrative documents. Lastly, they broke into Stefanic Dracogen's office near the catwalk where Justin Waye fell from. They didn't steal the gold inside the safe, but they took the business documents inside. No one ever spots them, and they never leave any evidence behind—hence the name.",,,,,,,Phantom,,,,,,,,,,,,,,,,
Phantom4,The Mistweaving Phantom,"There is a thief who calls themselves the ""Mistweaving Phantom"". They've been expertly robbing several merchant ships that were resting at Aurinax Harbor. They've also been breaking into the magically secured offices of the workers' unions and stealing administrative documents. They also broke into Stefanic Dracogen's office near the catwalk where Justin Waye fell from. They didn't steal the gold inside the safe, but they took the business documents inside. Lastly, they've also targeted individuals who have been plotting against the king. No one ever spots them, and they never leave any evidence behind—hence the name.",,,,,,,Phantom,,,,,,,,,,,,,,,,
UnionTensions,Union Tensions,There have been supposed tensions between the workers' unions in Aurinax and Stefanic Dracogen. The union head of the refinery workforce is Noah Morrison: the harbormaster of Aurinax Harbor and a close family friend.,,,,,,,UnionTensions,,,,,,,,,,,,,,,,
UnionTensions2,Union Tensions,"There have been supposed tensions between the workers' unions in Aurinax and Stefanic Dracogen. However, this has been denied by the union head of the refinery workforce: Noah Morrison. Noah Morrison is the harbormaster of Aurinax Harbor and a close family friend.",,,,,,,UnionTensions,,,,,,,,,,,,,,,,
ShipRep,Shipping Report,"Items that were robbed are marked in <color=red>red</color>.

<b>From: New Astralis — To: Remus Virgilae</b>
Item: 100 kilograms of foreign books.
<b>From: Aethergarde — To: Von Sanctus Industries</b>
Item: <color=red>UNKNOWN</color>
<b>From: Rosacastor — To: Von Sanctus Industries</b>
Item: 300 tonnes of Arcane Constructs
Item: <color=red>30 tonnes of bronze.</color>
<b>From: Ixia — To: Prym Textiles</b>
Item: 5 tonnes of fine linens and silk.
<b>From: Ixia — To: Von Sanctus Industries</b>
Item: <color=red>50 kilograms of exotic jewels.</color>
Item: 10 tonnes of barreled wine.",,,,,,,,,,,,,,,,,,,,,,,
Strap,Leather Strap,"Justin was holding this leather strap before he fell into the vat of magical chemicals. It has ""VI"" engraved at the end of it. It's covered in traces of <b>conjuration</b> magic.",,,,,,,Strap,,,,,,,,,,,,,,,,
Strap2,Pet Collar,"Two leather straps form to create what looks to be a pet collar. One piece is engraved with the letters ""VI"" and was dropped by Justin before he fell into the vat. The other piece is engraved with ""ETTA"" and was found lodged in the dented metal container in my house.",,,,,,,Strap2,,,,,,,,,,,,,,,,
