id,node,text,translation
line:0ecb64f,AurUpstairs_Examine,Player: Tavern,
line:0a89623,AurUpstairs_Examine,"Tyrion: So...[p/] Is it just me,[p/] or does this hallway look similar to the one in your family's tavern?",
line:03a2082,AurUpstairs_Examine,"Celeste: Well,[p/] most taverns use the same architecture.[p/] So, I don't think it's [i]that[/i] strange.",
line:0e0cece,AurUpstairs_Examine,"Tyrion: No,[p/] but it looks [i]exactly[/i] like the McCoy Tavern.[p/] It's uncanny.",
line:0b8b991,AurUpstairs_Examine,Tyrion: It's as if whoever made this tavern decided to just reuse the same design.,
line:0a57052,AurUpstairs_Examine,"Celeste: Hey,[p/] making unique designs is difficult, Tyrion.[p/] [i]And[/i] it costs money.",
line:05bc693,AurUpstairs_Examine,Celeste: Do you really think developers should be spending resources on a location that you'll only see once?,
line:0573b35,AurUpstairs_Examine,Tyrion: I don't know...[p/] It just seems kind of lazy.,
line:019e442,AurUpstairs_Examine,"Celeste: Well, if it bothers you so much,[p/][s/] why don't [i]you[/i] pay for the assets required to make a new one?",
line:07d3ff9,AurUpstairs_Examine,I decided to drop the matter.,
line:0d93d07,AurUpstairs_Examine,Player: End Door,
line:0350852,AurUpstairs_Examine,"Tyrion: Is this your room, Aster?",
line:0b3a7ec,AurUpstairs_Examine,"Aster: Yes,[p/] it's quite cozy.",
line:023938a,AurUpstairs_Examine,Aster: I'm very pleased with how much personality the craftsmanship has.,
line:0543601,AurUpstairs_Examine,Aster: It's nothing like any of the resorts I've stayed at.[p/] It's far more rustic.,
line:0cc5c51,AurUpstairs_Examine,Tyrion: Hm...,
line:07bc84d,AurUpstairs_Examine,Player: Back,
line:0722c17,AurUpstairs_Talk,Player: Aster de Wyverngarde,
line:091d365,AurUpstairs_Talk,"Tyrion: So, Your Highness—",
line:0186355,AurUpstairs_Talk,"Aster: Please, there's no need for that.[p/] Just call me ""Aster"".",
line:05a9316,AurUpstairs_Talk,"He couldn't be serious, could he?",
line:0173120,AurUpstairs_Talk,"After I got a good look at him,[p/] he looked sincere—[p/]a little [i]too[/i] sincere.",
line:00b7be2,AurUpstairs_Talk,"He carried himself with the poise of a royal,[p/] but there was also a warm kindness and humility in his eyes.",
line:0b9c749,AurUpstairs_Talk,"He sounded too good to be true,[p/] but maybe I was just too jaded by the other aristocrats I'd met.",
line:049aaa1,AurUpstairs_Talk,"Tyrion: What is the Crown Prince doing in a tavern like this, anyway?",
line:0413320,AurUpstairs_Talk,"Aster: Ah,[p/] the Kingsguard were being far too overbearing.",
line:04f2c89,AurUpstairs_Talk,"Aster: They were insistent that I return to the capital,[p/] but I'd been planning this trip to Aurinax for days.",
line:05c8f7e,AurUpstairs_Talk,Aster: I found an opportunity to sneak away from them and hired a guide to show me around the city.,
line:05ebbad,AurUpstairs_Talk,Tyrion: Are you talking about Noah Morrison?,
line:0deeaae,AurUpstairs_Talk,"Aster: Ah, yes.[p/] Mr. Morrison.",
line:0c38899,AurUpstairs_Talk,Aster: He told me quite a lot about the industrial complexities of Aurinax[p/] and even more about the workers' unions.,
line:052e1fc,AurUpstairs_Talk,Celeste: ...Is it really okay for you to disappear like that?,
line:060d0dd,AurUpstairs_Talk,Celeste: The Kingsguard are probably freaking out over losing track of you.,
line:00e8396,AurUpstairs_Talk,"Aster: Ah,[p/] they worry far too much.[p/] I can take care of myself.",
line:0dd46c2,AurUpstairs_Talk,"Aster: I may not look it,[p/] but I'm one of the most powerful mages in this kingdom.",
line:056b645,AurUpstairs_Talk,"Tyrion: That sounds awfully cocky,[p/] don't you think?",
line:09d66e7,AurUpstairs_Talk,Aster: Hm...[p/] You think so?,
line:084d455,AurUpstairs_Talk,There was so much optimism behind those eyes.[p/] How sheltered was this guy?,
line:0bba11f,AurUpstairs_Talk,Player: What did you see?,
line:09dcfd0,AurUpstairs_Talk,"Tyrion: Anyways,[p/] Mr. Morrison told us you were present when the accident occurred.",
line:010c5c0,AurUpstairs_Talk,"Aster: Ah, it was quite dreadful what happened.",
line:0d9acd5,AurUpstairs_Talk,Tyrion: We only have one witness who actually saw Justin fall into that vat.,
line:0b8f3c2,AurUpstairs_Talk,Tyrion: I was wondering if you saw anything she didn't.,
line:0f83f2f,AurUpstairs_Talk,"Aster: I didn't see much, I'm afraid.[p/] It all happened very quickly.",
line:031f15c,AurUpstairs_Talk,"Aster: If he weren't yelling at that animal,[p/] I might not have even noticed him.",
line:06782a7,AurUpstairs_Talk,"Tyrion: ...There was an animal up on the catwalk, too?",
line:02cfdde,AurUpstairs_Talk,"Aster: It looked to be some kind of hairless rodent,[p/] but it was abnormally large.",
line:02532ce,AurUpstairs_Talk,Aster: I think he may have been trying to catch it.[p/] He even grabbed it at one point.,
line:0428eac,AurUpstairs_Talk,Tyrion: ...Was he facing towards Dracogen's office when he was yelling at this rodent?,
line:0fb3c61,AurUpstairs_Talk,Aster: I think so.[p/] Noah pointed out the office window earlier.[p/] It allowed Stefanic to oversee the refinery.,
line:0b49491,AurUpstairs_Talk,Tyrion: Did you see anyone else up on the catwalk?,
line:0eb53bb,AurUpstairs_Talk,"Aster: No,[p/] my view of the catwalk was limited by my position.",
line:03542e5,AurUpstairs_Talk,"Ugh...[p/] This whole time,[p/] I thought Justin had been yelling at the Phantom,[p/] but it turned out he was just yelling at a rat.",
line:03b4547,AurUpstairs_Talk,It seemed that the only person who spotted the thief that day was Justin.,
line:0b59773,AurUpstairs_Talk,Player: The Accident,
line:0d5852e,AurUpstairs_Talk,Tyrion: Did you see the moment that Justin fell in?[p/] Was he pushed off the catwalk by a spell?,
line:09d1a40,AurUpstairs_Talk,"Aster: I'm not quite sure,[p/] but I definitely saw something magical.",
line:0805939,AurUpstairs_Talk,Aster: There was a flash of magical light centered on his position.,
line:097242c,AurUpstairs_Talk,Aster: The magical energy took the shape of a prism before blowing apart the guardrail.,
line:0778670,AurUpstairs_Talk,Aster: Justin lost his balance afterward and fell into the vat.,
line:05643c9,AurUpstairs_Talk,Tyrion: Did you see what the spell looked like?[p/] Do you think you could identify it for us?,
line:0ff3714,AurUpstairs_Talk,Aster: The problem is that I'm almost sure that it [i]wasn't[/i] a spell.,
line:0f87f87,AurUpstairs_Talk,Aster: It was the effect of some sort of artificery.,
line:03af993,AurUpstairs_Talk,Tyrion: ...How can you be so sure?,
line:0b9b760,AurUpstairs_Talk,Aster: It's difficult for someone who's not a mage to understand.,
line:0865b0a,AurUpstairs_Talk,"Aster: When a mage casts a spell,[p/] they draw and harness the aether from within their own body.",
line:0d43775,AurUpstairs_Talk,"Aster: Artificery, on the other hand,[p/] draws aether from the natural ley lines that run through the ground.",
