id,node,text,translation
line:03a5e04,Examine_Alley2,Player: Back,
line:0dc37e9,Talk_Alley2,Player: What did you see?,
line:0c751f5,Talk_Alley2,Player: BACK,
line:071f341,Present_Alley2,Player: Default,
line:0484b3e,Present_Alley2,Player: Back,
line:051f0b1,Check_Events_Alley2,We made our way back to the alleyway that Tymora brought us to a month ago.,
line:0b918d4,Check_Events_Alley2,"The alley was quiet,[p/] but I wasn't sure if I could trust that.",
line:0a9eda2,Check_Events_Alley2,We got looks from people living in the nearby buildings.[p/] They shut their windows the moment they saw us.[p/] I hoped I hadn't raised any alarms.,
line:03f5f93,Check_Events_Alley2,It would be too conspicuous to bring the Kingsguard with us.,
line:0ab429f,Check_Events_Alley2,Celeste actually planned the entire operation.[p/] They would walk through the streets and quickly storm the building the moment trouble arose.,
line:0cd1fa8,Check_Events_Alley2,They gave Celeste an enchanted Runestone to hold and channel her magic into.,
line:0230050,Check_Events_Alley2,"If she ever stopped focusing her magic,[p/] that would send a signal to the Kingsguard to storm the building.",
line:0482053,Check_Events_Alley2,Celeste: Are you ready?,
line:0ec9f7f,Check_Events_Alley2,Tyrion: Yes...[p/] Let's do this...,
line:0054f41,Check_Events_Alley2,The Eyetaker was our prime suspect.[p/] Everyone else had an alibi and lacked a motive.,
line:058af66,Check_Events_Alley2,"Not to mention,[p/] Eris was with Beatrice when she went missing.",
line:060b13e,Check_Events_Alley2,"I didn't want to suspect her,[p/] but her father [i]was[/i] a criminal,[p/] and she still hadn't turned up since the massacre.",
line:01df852,Check_Events_Alley2,Tyrion: Alright.[p/] On three.,
line:0bd0eff,Check_Events_Alley2,Tyrion: One.,
line:0171faa,Check_Events_Alley2,Celeste: Two.,
line:04a5a5a,Check_Events_Alley2,Tyrion: Three!,
line:039770a,Examine_Balcony1,Player: Debris,
line:03eb4dd,Examine_Balcony1,Tyrion: There's some sort of debris on the ground.,
line:032b699,Examine_Balcony1,I picked up one of the pieces and rolled it around in my palm.[p/] It appeared to be some kind of gravel.,
line:0fb7d59,Examine_Balcony1,Player: Detect Debris,
line:0501910,Examine_Balcony1,Celeste: There are traces of [b]transmutation[/b] on this debris.,
line:04802e9,Examine_Balcony1,Tyrion: That would imply that a spell specifically targeted or created whatever this came from...,
line:04cbd79,Examine_Balcony1,Tyrion: I doubt someone intentionally created these bits of gravel.,
line:0651b0a,Examine_Balcony1,Tyrion: It must have broken off from something else.,
line:0f8dff3,Examine_Balcony1,Player: Balcony,
