REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Beatrice's Inheritance 0,Beatrice's Story,"Beatrice Frega fled from her family five years ago and went into hiding. Until the night of the murder, many of her friends and family members hadn’t seen or heard from her.",,,,,,,BeatriceStory,,,,比亚特丽丝的故事,比亚特丽丝·弗雷加五年前逃离家族，藏了起来。谋杀当晚之前，她都很久没有联络过朋友和家人。,,,,,,,,,,,
Beatrice's Inheritance 1,William Frega's Inheritance,"Beatrice Frega fled from her family five years ago and went into hiding. Until the night of the murder, many of her friends and family members hadn’t seen or heard from her.

On the night of the murder, Beatrice finally returned to her home. She arranged a meeting with her father. This meeting didn’t end as planned. And Beatrice angered William Frega enough for him to declare that he would be disinheriting her that night.",,,,,,,BeatriceStory,,,,威廉·弗雷加的遗产,,,,,,,,,,,,
Beatrice's Inheritance,William Frega's Inheritance?,"“Beatrice Frega fled from her family five years ago and went into hiding. In retaliation, William Frega told Miriam Frega that he would remove Beatrice from his will. As a result, she wouldn’t receive any inheritance after his death.”

As per your agreement, this testimony will be confirmed by Miriam Frega in court. ",,,,,,,BeatriceStory,,,,,,,,,,,,,,,,
Autopsy Report: William Frega,Autopsy Report: William Frega,"""Died at 3:12 AM. Cause of death was blood loss after his throat was slashed open. Both carotid arteries were severed, meaning that death must have followed mere seconds after the wound was inflicted.

Body shows several scratch marks on the face and back. Traces of <i>illusion</i> magic were also found on the body.”",,,,,,,,,,,尸检报告：威廉·弗雷加,,,,,,,,,,,,
Beatrice's Blindness,Beatrice's Blindness,Beatrice Frega is completely blind. She is unable to see anything through her eyes. This has been verified through several medical reports and qualified chirurgeons.,,,,,,,,,,,比亚特丽丝是盲人,比亚特丽丝·弗雷加完全失明。她自己的眼睛什么都看不见，多份医疗报告和专业外科医生都能证明这一点。,,,,,,,,,,,
Sword of Spell Eating,Sword of Spell Eating,"The Sword of Spell Eating is an ancient artifact. When wielded by a creature, that creature and anything connected to them (physically or magically) are immune to all harmful magical effects. Legends say that it was forged through a Blood Contract between a mage and a demon.",,,,,,,SpellEat,,,,噬法之剑,噬法之剑是一件远古遗物。被生物使用时，生物以及与之有物理/魔法联系的任何物品都会免疫其他有害魔法效果。传说这是通过法师与恶魔的血契打造而成。,,,,,,,,,,,
Sword of Spell Eating 2,Sword of Spell Eating,"The Sword of Spell Eating is an ancient artifact. When wielded by a creature, that creature and anything connected to them (physically or magically) are immune to all harmful magical effects. Legends say that it was forged through a Blood Contract between a mage and a demon.

It was stolen on the night of the murder and found in Beatrice Frega's old room.",,,,,,,SpellEat,,,,噬法之剑,,,,,,,,,,,,
Sword of Spell Eating 3,Sword of Spell Eating,"The Sword of Spell Eating is an ancient artifact. When wielded by a creature, that creature and anything connected to them (physically or magically) are immune to all harmful magical effects. Legends say that it was forged through a Blood Contract between a mage and a demon.

On the night of the murder, someone used a powerful spell to completely shatter the magically protected glass that was containing it. It was later found in Beatrice Frega's old room.",,,,,,,SpellEat,,,,噬法之剑,,,,,,,,,,,,
Earrings of Vitality,Earrings of Vitality,"The Earrings of Vitality are an ancient artifact. When worn by a creature, that creature’s wounds will slowly heal over time. Furthermore, its holder’s lifespan increases tenfold for as long as they’re worn. Harold Haroldson found these in the ruins of an old Luminite temple.",,,,,,,,,,,活力耳环,,,,,,,,,,,,
Armbands of Intellect,Armbands of Intellect,"The Armbands of Intellect are an ancient artifact. When worn by a creature, that creature’s intelligence would be increased beyond the limits of an average human. Legends say that it was forged by a member of House Frega to further their study of magic.",,,,,,,ArmInt,,,,智慧臂章,智慧臂章是一件远古遗物。被生物佩戴时，该生物的智力会被提升至远超普通人类的水平。传说这是由弗雷加一族的成员打造，意在辅助魔法研究。,,,,,,,,,,,
Armbands of Intellect 2,Armbands of Intellect,"The Armbands of Intellect are an ancient artifact. When worn by a creature, that creature’s intelligence would be increased beyond the limits of an average human. Legends say that it was forged by a member of House Frega to further their study of magic.

On the night of the murder, Harold Haroldson discovered that the Armbands of Intellect were also stolen. The glass case holding the Armbands <i>wasn't</i> shattered. And the Armbands were replaced with a very convincing replica.",,,,,,,ArmInt,,,,智慧臂章,,,,,,,,,,,,
Haroldson's Security,Haroldson's Security,The artifacts on display at the Lords’ Ball were protected by layers of abjuration spells. Even a highly skilled mage would have trouble breaking into them.,,,,,,,Security,,,,哈罗德森的安全措施,勋爵的舞会上展出的遗物都施加了多层防护法术。顶尖法师也要费一番功夫才能突破。,,,,,,,,,,,
Haroldson's Security 2,Haroldson's Security,"The artifacts on display at the Lords’ Ball were protected by layers of abjuration spells. Even a highly skilled mage would have trouble breaking into them.

The spells that guard the displays can be temporarily disabled using a spoken password. Harold Haroldson is supposedly the only person who knows this password.",,,,,,,Security,,,,哈罗德森的安全措施,,,,,,,,,,,,
Missing Sword,Celeste's Missing Sword,"When Celeste went to the coat room to change, she was told that her sword had gone missing. Someone else must have taken it.",,,,,,,CelSword,,,,塞莱斯特的剑不见了,塞莱斯特在衣帽间更衣时，得知她的佩剑不见了。一定是有人拿走了这把剑。,,,,,,,,,,,
Celeste's Sword,Celeste's Sword,"When Celeste went to the coat room to change, she was told that her sword had gone missing. Someone else must have taken it.

You later found the missing sword was found in Beatrice’s bedroom. This was also the room where the Sword of Spell Eating was found after it was stolen. Are these two elements related somehow?",,,,,,,CelSword,,,,塞莱斯特的剑,,,,,,,,,,,,
Murder Weapon,Murder Weapon,The murder weapon was a letter opener with House Frega’s crest on it. It must have been owned by the victim. Its handle was completely shattered. It would have taken a tremendous amount of force to crush it like that.,,,,,,,,,,,凶器,凶器是一把刻有弗雷加一族纹章的拆信刀。应该是受害者的所有物。把手被完全破坏了，得用上相当强大的力气才能做到这种程度。,,,,,,,,,,,
Lockdown System,Lockdown System,"The lockdown system covers the entire manor. Once activated, it creates magical barriers that prevent anyone from leaving or teleporting out of the building. In addition to this, it covers the entire manor in an <b>Anti-Magic Field</b>. Within this field, any and all magical effects are nullified and disabled.

However, anyone physically or magically connected to the Sword of Spell Eating would be immune to the effects of the <b>Anti-Magic Fields</b>.",,,,,,,,,,,封锁系统,,,,,,,,,,,,
Method of Entry,Method of Entry,The murderer somehow entered William Frega’s study despite it being protected with abjurative wards. These wards magically locked the only door leading into the room. They also prevented teleportation in and out of the room. It’s possible to temporarily nullify these wards with the Sword of Spell Eating.,,,,,,,,,,,入侵方法,虽然有多个防护结界保护，但凶手还是侵入了威廉·弗雷加的书房。这些防护结界用魔力锁住通往房间的唯一一扇门，同时也会阻止通过传送出入房间。利用噬法之剑可以暂时使这些结界无效化。,,,,,,,,,,,
What Jan Heard,What Jan Heard,Jan Hughes was trapped in a storage room near William Frega’s study. He took a nap but was awoken to the sounds of some kind of physical struggle. He heard Frega shout “Who are you?! What do you want?!”. After a few more seconds he heard the sound of someone being stabbed.,,,,,,,,,,,简听到的事,简·休斯被困在了威廉·弗雷加书房附近的储藏室里。他打了个盹，但被争斗声吵醒。他听见弗雷加大喊“你是谁？！你想要什么？！”。又过了几秒，他听见了有人被捅的声音。,,,,,,,,,,,
Rats in the Vents,Rats in the Vents,The servants have been frequently complaining about the sound of rats running through the vents. Jan tried to track one of them down and followed it to the Storage Room.,,,,,,,,,,,通风管道里的老鼠,佣人们一直都有抱怨老鼠在管道里跑动的噪音。简曾尝试跟着其中一只，结果一路跟到了储藏室里。,,,,,,,,,,,
Liafal's Engagement,Laefe's Engagement,"Laefe Frega was due to be married to Jaiden von Sanctus. This arranged marriage was facilitated by William Frega and Lloyd von Sanctus. As part of this diplomatic marriage, House von Sanctus would be absorbed by House Frega. In return, Jaiden would inherit the entirety of House Frega from William.

Laefe knew how this marriage would affect the future of House Frega. She has expressed resistance to the diplomatic marriage and has been stalling for time. Lloyd von Sanctus worries that William Frega's death could cancel the marriage altogether. ",,,,,,,,,,,拉菲的婚约,,,,,,,,,,,,
Liafal's Testimony,Laefe's Testimony,"After his meeting with Beatrice Frega, William Frega retreated into his Study and locked himself within it. He refused to speak with almost everyone who tried to disturb him.

The only person he spoke to was Laefe Frega. She told him about the theft of the Sword of Spell Eating a little after 1:00AM. But William didn’t seem to care and returned to his business. ",,,,,,,LaefeTest,,,,拉菲的证言,,,,,,,,,,,,
Liafal's Testimony 2,Laefe's Testimony,"After his meeting with Beatrice Frega, William Frega retreated into his Study and locked himself within it. He refused to speak with almost everyone who tried to disturb him. 

The only person he spoke to was Laefe Frega. She told him about the theft of the Sword of Spell Eating a little after 1:00AM. But William didn’t seem to care and returned to his business.

Through Laefe’s thoughts, you know that he entered the study to make some sort of adjustment to his will.",,,,,,,LaefeTest,,,,拉菲的证言,,,,,,,,,,,,
William's Modified Will,William's Modified Will,"On the night of the murder, William Frega retreated into his study to modify his will. He died before this will could be submitted. So, it’s not valid.

The draft was supposedly stolen during the lockdown. It’s likely that the murderer took and/or destroyed it.",,,,,,,,,,,威廉修改过的遗嘱,,,,,,,,,,,,
Frega Manor Floor 1,Frega Manor - Floor 1,It's a map of the ground floor of Frega Manor. It shows the rooms relevant to the case.,,,,,,,,,,,弗雷加庄园一层,弗雷加庄园一层的地图，展示了与案件有关的房间。,,,,,,,,,,,
Frega Manor Floor 2,Frega Manor - Floor 2,It's a map of the second floor of Frega Manor. It shows the rooms relevant to the case.,,,,,,,,,,,弗雷加庄园二层,弗雷加庄园二层的地图，展示了与案件有关的房间。,,,,,,,,,,,
Beatrice's Alibi,"Beatrice's ""Alibi""","Beatrice Frega was seen speaking with Aster de Wyverngarde and Alaric de Wyverngarde during the Lords’ Ball. She spent the entire night speaking with them. She was also accounted for before the Sword of Spell Eating was reported missing. 

Lucio Steelwind, Aster, and several members of the Kingsguard can confirm this.",,,,,,,,,,,比亚特丽丝的“不在场证明”,,,,,,,,,,,,
Tracker's Testimony,Tracker's Testimony,"On the night of the murder, Tracker smelled something strange and followed the scent to the hallway north of Beatrice’s Bedroom. There he saw a “flying rat” come out from the northern air vent. Tracker barked at this “rat” and scared it away. 

When this happened, “rat” supposedly dropped the Sword of Spell Eating. Tracker took the sword and brought it back to Beatrice’s Room.",,,,,,,,,,,追追的证言,,,,,,,,,,,,
Marrunath's Blood Contract,Beatrice's Blood Contract,"It’s a legal document written in blood… It’s also 50 pages long. Luckily, you somehow know the excerpt of the exact section you need.

“Marrunath is prohibited from killing or injuring any and all humans. Beatrice Frega can designate individuals that are exempt from this rule. And exempted individuals will only remain so for 24 hours. After that, Marrunath cannot harm them unless told otherwise.”",,,,,,,,,,,比亚特丽丝的血契,,,,,,,,,,,,
