REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Sandwich,"","","","","","","","","","","","",
Horse,"","","","","","","","","","","","",
Bear,"","","","","","","","","","","","",
Vehicular Manslaughter,"Vehicular Manslaughter","In the Kingdom of Wyverngarde, the average sentence for vehicular manslaughter is two years of imprisonment. There is no fine.","","","","","","","","","","",
Flinhart Autopsy,"Autopsy Report","""Died at 1:12 AM after being stabbed from behind with a magical blade. Fatal wound shows heavy traces of <b>transmutation</b> magic.""","","","","","","","","","","",
CelComp,"Celeste's Spell Compendium","Celeste McCoy’s Spell Compendium. It contains the formula for only one spell: <b>Mage Blade</b>.","","","","","","","","","","",
GarComp,"Pierce's Spell Compendium","Garrick Pierce's Spell Compendium. It contains the formulas for the following spells: Prestidigitation, Conjure Light, Conjure Water, Frost Wave, and Shape Liquid.","","","","","","","","","","",
Occupation,"Celeste's Occupation","Celeste is a mercenary by trade. It's a little unexpected, but who am I to judge?","","","","","","","Occupation","","","",
Occupation2,"Celeste's Occupation","Celeste McCoy learned magic so she could support her family. Apparently, many people will pay extra for a mercenary that can use magic.","","","","","","","Occupation","","","",
Sword,"Celeste's Sword","The alleged murder weapon. It's an ornately designed sword, but it has no magical properties.","","","","","","","","","","",
Sword2,"Celeste's Sword","The alleged murder weapon. It's an ornately designed sword, but it has no magical properties. Traces of <b>transmutation</b> magic were detected on it.","","","","","","","","","","",
Photo,"Crime Scene Photo","A picture of Flinhart McCoy after he was murdered. It shows the traces of <b>transmutation</b> magic that were on the sword.","","","","","","","","","","",
Map,"Crime Scene Map","A geometrically scaled map of the Crime Scene.","","","","","","","Map","","","16,9",
Map2,"Crime Scene Map","A geometrically scaled map of the Crime Scene. Flinhart died at the location of the V marker. This was also the location of where the murder must have occurred.","","","","","","","Map","","Victim,8,3","16,9",
Map3,"Crime Scene Map","A geometrically scaled map of the Crime Scene. Flinhart died at the location of the V marker. Garrick Pierce <i>claims</i> to have witnessed the murder from the W marker. But that's impossible, as he wouldn’t have had proper lighting.","","","","","","","Map","","Victim,8,3","16,9",
Power,"Broken Power Cell","The McCoy Inn is outfitted with several lamps powered by artificery. However, the arcane power cell has been broken for weeks and the lamps can’t be turned on.","","","","","","","Power","","","",
Power2,"Broken Power Cell","The McCoy Inn is outfitted with several lamps powered by artificery. However, the arcane power cell has been broken for weeks and the lamps can’t be turned on. This means that the lights were not operational during the murder.","","","","","","","Power","","","",
Bottle,"Shattered Bottle of Lotus Juice","The shattered remains of a glass bottle. You found it next to Flinhart McCoy’s body. The label says the words: ""Lotus Juice"".","","","","","","","Bottle","","","",
Bottle2,"Shattered Bottle of Lotus Juice","The shattered remains of a glass bottle. Flinhart McCoy was holding this bottle and dropped it during the murder. The label says the words: ""Lotus Juice"".","","","","","","","Bottle","","","",
Bottle3,"Shattered Bottle of Lotus Juice","The shattered remains of a glass bottle. He was holding this bottle and dropped it during the murder. It contained Celeste's favorite drink: Lotus Juice. Flinhart McCoy retrieved it from his room after his argument with Celeste.","","","","","","","Bottle","","","",
Key,"Celeste's Bedroom Key","The key to Celeste McCoy's bedroom in the McCoy Tavern.","","","","","","","","","","",
Effie,"Flinhart's Sister","Flinhart McCoy’s sister died during an accident involving the local lord and his magic. Ever since then, Flinhart has hated magic and the mages who wield them.","","","","","","","","","","",
