REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Letter from Garrick Pierce,"Letter from Garrick Pierce","""I hope you understand... I would've never contacted you unless I had no other choice. I know the truth behind McCoy's <i>true</i> parentage. And I'm aware of how vital this information is to you. As you know, my execution is scheduled for next month. And I'm running out of time. I want to trade this information with you. In exchange, you <i>will</i> grant me my freedom. Meet me within the private Prayer Room within the Grand Cathedral of the Scaled Lord at 2:00 PM. You <i>will</i> save me from my fate, or else...""","","","","","","","","","","",
Map of the Grand Cathedral,"Map of the Grand Cathedral","It's a map of the cathedral grounds.","","","","","","","","","","",
Comatose Knights,"Comatose Knights","Several knights from the Kingsguard were found unconscious after the bodies were found. They have been unresponsive since the massacre. And due to a lack of magical traces, they are clearly not being affected by any kind of arcane spell.","","","","","","","","","","",
Celeste's Testimony,"Celeste's Testimony","During the afternoon of the murder, Celeste McCoy heard a suspicious sound and investigated the hallway leading to the Prayer Room. There she saw Aria Steelwind fighting the guards. 

Aria didn’t respond to Celeste’s questions and attacked her as well. The two fought to a standstill and Aria pushed past her. When Celeste arrived at the Prayer Room, she found Tyrion and Aria unconscious. And Pierce was already dead. She didn’t see Beatrice Frega at any point during the altercation.","","","","","","","","","","",
Autopsy Report: Lloyd von Sanctus,"Autopsy Report: Lloyd von Sanctus","""Died at 2:05PM. The cause of death was suffocation. The fire in the Common Room burnt the body too much to discern any specific wounds he might have suffered. However, a small trace of <b>evocation</b> magic and a burn mark were found on the victim’s left shoulder. This implies the body was hit with a fire-based <b>evocation</b> spell.

Traces of <b>abjuration</b> magic were found on and around the body.”","","","","","","","","","","",
Autopsy Report: Coraline Sibyl,"Autopsy Report: Coraline Sibyl","""Died at 2:18PM. Cause of death was suffocation. Her body was found floating in a nearby lake outside of the Grand Cathedral.

Traces of <b>transmutation</b>, <b>evocation</b>, and <b>necromancy</b> magic were found on the body.” ","","","","","","","","","","",
Autopsy Report: Garrick Pierce,"Autopsy Report: Garrick Pierce","""Died at 2:45PM, in the Prayer Room. Cause of death was blood loss. A shard of frozen liquid was found stabbed through his heart. It is very likely that this was the murder weapon. 

The wound also shows heavy traces of <b>transmutation</b> magic. And traces of <b>conjuration</b> magic were found throughout the room.”","","","","","","","","","","",
The Murderer's Route,"The Murderer's Route","Judging from each time of death, the murderer went from the Common Room to the Balcony, and then to the Prayer Room, in that order. However, that wasn’t the most direct route. There has to be an explanation for that.","","","","","","","","","","",
Von Sanctus: Traces of Abjuration,"Von Sanctus: Traces of Abjuration","There are traces of <b>abjuration</b> magic that form a perfect square around the body. The area within the square seems far less burnt too.","","","","","","","","","","",
The Murder of Von Sanctus,"The Murder of Von Sanctus","Aria Steelwind attacked von Sanctus with a <b>Fire Bolt</b> in the Common Room. He reacted by casting <b>Force Cage</b> to protect himself. Seeing that she couldn’t break through it, she started a fire to eat all of the oxygen in the room. Von Sanctus was probably helpless as he suffocated from a lack of oxygen.","","","","","","","","","","",
